"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","12-Jul-2019","       2407.15","       2418.00","       2418.00","       2385.05","       2390.00","       2393.90","       2398.71","    2244068","          5382858844.70","     119705","    1313824","         58.55"
"HDFCBANK","EQ","15-Jul-2019","       2393.90","       2396.00","       2403.00","       2377.35","       2398.00","       2394.75","       2389.62","    2058296","          4918539139.35","      98607","    1404876","         68.25"
"HDFCBANK","EQ","16-Jul-2019","       2394.75","       2418.00","       2418.00","       2382.00","       2393.00","       2391.20","       2396.89","    3192642","          7652397496.80","     131505","    1920698","         60.16"
"HDFCBANK","EQ","17-Jul-2019","       2391.20","       2392.95","       2411.60","       2391.30","       2401.90","       2397.45","       2402.10","    1939934","          4659913060.30","      67598","    1115864","         57.52"
"HDFCBANK","EQ","18-Jul-2019","       2397.45","       2403.00","       2429.00","       2401.90","       2414.75","       2411.90","       2417.18","    2700646","          6527943531.55","      95138","    1314150","         48.66"
"HDFCBANK","EQ","19-Jul-2019","       2411.90","       2415.00","       2420.70","       2367.00","       2379.50","       2375.65","       2387.87","    2234807","          5336417925.70","     139292","    1221721","         54.67"
"HDFCBANK","EQ","22-Jul-2019","       2375.65","       2345.00","       2349.85","       2281.25","       2302.80","       2297.25","       2302.41","    5542824","         12761828597.40","     239328","    3160780","         57.02"
"HDFCBANK","EQ","23-Jul-2019","       2297.25","       2294.50","       2294.50","       2242.05","       2265.50","       2263.50","       2261.89","    6950716","         15721729608.75","     237644","    4401966","         63.33"
"HDFCBANK","EQ","24-Jul-2019","       2263.50","       2256.75","       2293.00","       2251.00","       2284.00","       2280.90","       2276.22","    4340935","          9880903017.85","     221845","    2590720","         59.68"
"HDFCBANK","EQ","25-Jul-2019","       2280.90","       2285.00","       2315.45","       2280.25","       2291.00","       2286.05","       2297.27","    4865502","         11177378388.25","     187329","    2945122","         60.53"
"HDFCBANK","EQ","26-Jul-2019","       2286.05","       2278.20","       2293.65","       2272.85","       2276.00","       2277.30","       2284.17","    3207457","          7326392886.65","     154124","    2019112","         62.95"
"HDFCBANK","EQ","29-Jul-2019","       2277.30","       2273.55","       2273.55","       2223.05","       2249.30","       2244.30","       2246.77","    2494123","          5603718444.60","     128559","    1475389","         59.15"
"HDFCBANK","EQ","30-Jul-2019","       2244.30","       2255.00","       2271.20","       2239.90","       2254.80","       2252.25","       2255.35","    2598534","          5860605363.45","     122826","    1628613","         62.67"
"HDFCBANK","EQ","31-Jul-2019","       2252.25","       2240.00","       2267.00","       2234.25","       2249.60","       2251.65","       2249.21","    3472960","          7811405394.70","     158165","    2516586","         72.46"
"HDFCBANK","EQ","01-Aug-2019","       2251.65","       2229.10","       2240.00","       2197.00","       2225.00","       2221.80","       2220.25","    4560419","         10125273727.70","     143216","    3007966","         65.96"
"HDFCBANK","EQ","02-Aug-2019","       2221.80","       2211.00","       2224.00","       2182.00","       2220.00","       2214.35","       2201.32","    6956384","         15313215817.30","     177396","    4270484","         61.39"
"HDFCBANK","EQ","05-Aug-2019","       2214.35","       2197.05","       2200.00","       2162.50","       2174.60","       2179.25","       2177.33","    4955610","         10789981549.25","     208438","    3086735","         62.29"
"HDFCBANK","EQ","06-Aug-2019","       2179.25","       2167.00","       2210.25","       2167.00","       2183.00","       2189.10","       2186.84","    6222735","         13608136578.75","     208507","    4156077","         66.79"
"HDFCBANK","EQ","07-Aug-2019","       2189.10","       2190.00","       2202.00","       2165.00","       2180.00","       2184.00","       2188.35","    4687534","         10257984618.50","     160175","    3209697","         68.47"
"HDFCBANK","EQ","08-Aug-2019","       2184.00","       2198.00","       2243.00","       2183.00","       2239.80","       2233.15","       2212.99","    4927900","         10905417010.45","     192860","    3233599","         65.62"
"HDFCBANK","EQ","09-Aug-2019","       2233.15","       2247.00","       2289.00","       2239.80","       2285.00","       2282.00","       2274.74","    7609028","         17308568937.90","     180014","    5733704","         75.35"
"HDFCBANK","EQ","13-Aug-2019","       2282.00","       2273.30","       2273.30","       2202.60","       2228.00","       2220.35","       2226.91","    3860017","          8595896762.60","     187637","    2385244","         61.79"
"HDFCBANK","EQ","14-Aug-2019","       2220.35","       2235.40","       2235.40","       2203.05","       2227.90","       2229.45","       2223.33","    3563513","          7922878553.05","     113946","    2010160","         56.41"
"HDFCBANK","EQ","16-Aug-2019","       2229.45","       2214.00","       2233.00","       2204.10","       2223.95","       2227.70","       2222.29","    3811890","          8471119947.30","     134420","    2587007","         67.87"
"HDFCBANK","EQ","19-Aug-2019","       2227.70","       2238.50","       2242.00","       2201.70","       2210.95","       2206.85","       2227.18","    2124550","          4731763226.75","     120954","     994100","         46.79"
"HDFCBANK","EQ","20-Aug-2019","       2206.85","       2209.25","       2227.80","       2206.85","       2224.00","       2220.60","       2218.57","    2567648","          5696516504.55","      85255","    1232433","         48.00"
"HDFCBANK","EQ","21-Aug-2019","       2220.60","       2224.90","       2241.20","       2214.20","       2225.70","       2225.85","       2229.56","    2618178","          5837373798.65","      75718","    1466393","         56.01"
"HDFCBANK","EQ","22-Aug-2019","       2225.85","       2220.85","       2220.85","       2167.05","       2177.00","       2174.10","       2199.15","    3498011","          7692639006.35","     203340","    2048334","         58.56"
"HDFCBANK","EQ","23-Aug-2019","       2174.10","       2161.00","       2177.00","       2139.60","       2164.90","       2162.70","       2157.09","    5024904","         10839185043.40","     198523","    3284413","         65.36"
"HDFCBANK","EQ","26-Aug-2019","       2162.70","       2194.90","       2266.15","       2167.00","       2259.00","       2256.15","       2216.97","    6320061","         14011405009.35","     231650","    3467750","         54.87"
"HDFCBANK","EQ","27-Aug-2019","       2256.15","       2256.00","       2272.90","       2240.10","       2258.00","       2259.95","       2257.98","    5165208","         11662935037.80","     199581","    3252574","         62.97"
"HDFCBANK","EQ","28-Aug-2019","       2259.95","       2250.00","       2257.35","       2226.35","       2245.00","       2247.50","       2240.16","    3415647","          7651604388.40","     166668","    1934486","         56.64"
