"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"SUNPHARMA","EQ","07-Apr-2020","        375.95","        398.00","        422.85","        388.30","        415.55","        417.35","        407.17","   29675452","         12082876093.15","     343700"
"SUNPHARMA","EQ","08-Apr-2020","        417.35","        419.00","        448.75","        413.15","        437.50","        436.70","        436.03","   27810987","         12126523142.55","     433126"
"SUNPHARMA","EQ","09-Apr-2020","        436.70","        454.40","        473.90","        443.40","        452.45","        454.45","        460.90","   31863686","         14686105866.80","     408412"
"SUNPHARMA","EQ","13-Apr-2020","        454.45","        462.95","        477.90","        443.10","        463.00","        462.35","        464.72","   30510404","         14178666669.75","     361403"
"SUNPHARMA","EQ","15-Apr-2020","        462.35","        474.90","        488.50","        444.10","        450.00","        449.20","        469.39","   32508977","         15259261040.10","     427523"
"SUNPHARMA","EQ","16-Apr-2020","        449.20","        450.00","        467.60","        449.20","        466.00","        463.70","        459.59","   16933112","          7782361760.85","     236715"
"SUNPHARMA","EQ","17-Apr-2020","        463.70","        476.95","        476.95","        448.45","        457.30","        457.10","        459.57","   19774595","          9087893401.75","     231383"
"SUNPHARMA","EQ","20-Apr-2020","        457.10","        457.35","        475.00","        450.55","        474.85","        473.40","        466.27","   17894276","          8343567565.00","     198808"
"SUNPHARMA","EQ","21-Apr-2020","        473.40","        467.85","        490.70","        464.25","        470.35","        473.15","        479.92","   30022318","         14408188549.05","     354530"
"SUNPHARMA","EQ","22-Apr-2020","        473.15","        474.95","        482.40","        469.00","        475.50","        474.35","        476.47","   13336594","          6354473105.90","     195298"
"SUNPHARMA","EQ","23-Apr-2020","        474.35","        476.95","        487.85","        474.35","        478.50","        477.45","        481.09","   13748836","          6614369526.00","     179350"
